MainCluster,SubCluster,x,y
0,1,430.20661562120335,851.8850250242887
0,2,498.6760134709055,1037.0368360427822
0,3,345.1168775943775,940.6988141233676
0,4,358.1880067158728,1074.6485759734599
0,5,545.9505377584287,882.0020816828813
1,6,568.4691918149263,349.61593807696664
1,7,352.32713566953845,241.04652252583656
1,8,511.3882151758404,236.64071130791191
1,9,426.04975016285675,367.8237898014403
1,10,455.2485248088915,132.97127127885932
2,11,230.78344795930946,337.78442113058793
2,12,250.69190058572912,506.72828137713736
2,13,122.32867753013826,516.3469235523237
2,14,320.79967600105584,434.40627668554595
2,15,107.56576589683185,369.043000937559
3,16,303.63756053025884,24.600532639975953
3,17,358.6046282979662,-93.16818521533558
3,18,330.49189528904196,-200.6514547999104
3,19,422.6213476584652,32.734719263024076
3,20,209.61776003788862,-91.13714339526439
4,21,560.5712812613536,736.4734565311799
4,22,436.23735832235144,522.2010456424683
4,23,445.747920772238,668.3539584124967
4,24,596.8572918869137,477.8538244978046
4,25,580.343431271482,606.2775390259785
5,26,261.01919625224224,816.150019220422
5,27,142.03202055250688,645.8700407584183
5,28,278.65677677511303,633.5112694622934
5,29,151.9248573726166,767.4203615187125
5,30,349.0658935774337,736.6306015889547
6,31,87.07446595668083,0.16922348574891544
6,32,207.02899769981312,72.51050360626814
6,33,80.63052997194379,119.2765387814791
6,34,243.17482157247417,184.01946104164045
6,35,104.00500450355472,233.91948190390212
7,36,-61.94178799021425,974.5146627470624
7,37,74.27067040369494,1011.2971940278936
7,38,216.08207229693252,1082.556143191153
7,39,130.83307717314196,898.0900997794289
7,40,219.2255579127931,961.1356059495644
